TimeToMaturity,ZeroYield
0.2,0.01923595978406736
0.625,0.019316129974830797
1.2138888888888888,0.01984928061990809
1.6388888888888888,0.020494161422863665
2.452777777777778,0.02086879353373632
2.6555555555555554,0.02187993813381791
3.2444444444444445,0.022717253447984358
3.6694444444444443,0.023324462226620903
4.258333333333334,0.024217406514019834
4.683333333333334,0.024834688057021305
5.272222222222222,0.02563648541837866
5.697222222222222,0.026019556470630395
6.288888888888889,0.028671708337902547
6.713888888888889,0.02728468196975289
7.727777777777778,0.028528128300289893
8.316666666666666,0.029069906919249516
8.741666666666667,0.029725708048438142
9.755555555555556,0.03079971002172491
10.347222222222221,0.03135539196314214
