TimeToMaturity,ZeroYield
0.13055555555555556,0.017465435567205322
0.20833333333333334,0.018708411497825116
0.4638888888888889,0.01943464942337631
0.5555555555555556,0.019527541572309737
0.7194444444444444,0.019540573785229668
1.1444444444444444,0.01943454657900554
1.5694444444444444,0.01974828925768753
2.3833333333333333,0.0198004568825483
2.5861111111111112,0.0204820717913274
3.175,0.021358312934016445
3.6,0.021705442131340045
4.188888888888889,0.022440724630319858
4.613888888888889,0.022893316339008717
5.2027777777777775,0.023490725214285513
5.627777777777778,0.024084392799795955
6.219444444444444,0.026737877423563795
6.644444444444445,0.02536379978079795
7.658333333333333,0.026496509864064426
8.247222222222222,0.027258800130463928
8.672222222222222,0.027677758384691577
9.686111111111112,0.028633360262384895
10.277777777777779,0.029252919440404004
12.305555555555555,0.031189332787779852
14.761111111111111,0.03243990161267544
15.35,0.03295463063864784
16.586111111111112,0.03360590038288742
17.377777777777776,0.03382534608746338
19.408333333333335,0.03525608088083315
21.43611111111111,0.035478556980346763
26.511111111111113,0.035423424619729735
29.552777777777777,0.03772585539074247
